endpoint_margin,beta_sign,theta0_ref,alpha,beta,beta_for_prb,kappa,phi,Qx_ref,Qy_ref,theta1,theta2,theta3,Qx_prb,Qy_prb,theta0_prb,success,residual_norm,tip_error_percent,slope_error_percent,delta_theta_norm,branch_jump_flag
0.02,1,0.5195853938668124,0.05487468782013244,0.4685069383483341,0.4685069383483341,1.0,1.5707963267948966,0.9533411074198535,0.26239497923182586,0.160155306317951,0.17532589424255926,0.18712092905617464,0.9532001779635506,0.26237496225120394,0.5226021296166848,True,1.7176284059392046e-14,0.014234391861626177,0.5806044175764078,0.012077433160128277,False
0.02,1,0.5404014519445962,0.0590035604745148,0.4858129700801114,0.4858129700801114,1.0,1.5707963267948966,0.949510352306937,0.27265029205750757,0.16696383643780713,0.18237957545808606,0.19417180041426987,0.9493563355373265,0.2726507686749827,0.5435152123101631,True,2.0802391937474432e-14,0.01540175070746668,0.5761939303386825,0.012075814175105191,False
0.02,1,0.5612175100223801,0.0632663522755979,0.5030560695413501,0.5030560695413501,1.0,1.5707963267948966,0.9455314681427159,0.2828576795885778,0.17379550590785658,0.18943241829118804,0.20119849136706994,0.9453637071507559,0.28287972147262413,0.5644264155661145,True,2.4760462613303715e-14,0.01692028223042526,0.5717757351523951,0.012074298551990754,False
0.02,1,0.5820335681001639,0.06766279866303399,0.5202414772508397,0.5202414772508397,1.0,1.5707963267948966,0.941405264589935,0.29301417895173687,0.18064971362545815,0.19648404065161618,0.20820197712584457,0.9412230932201473,0.2930588188243809,0.5853357314029188,True,2.9423004838422604e-14,0.018756099327953326,0.5673492876937678,0.012072876795672108,False
0.02,1,0.6028496261779477,0.0721928126929611,0.5373744046489788,0.5373744046489788,1.0,1.5707963267948966,0.937132615506041,0.30311685690938006,0.1875258802517397,0.20353405524455725,0.21518321686060135,0.93693535773809,0.30318509109140823,0.6062431523568983,True,3.4678434193402455e-14,0.0208725970147605,0.5629142047355138,0.012071540144787542,False
0.02,1,0.6236656842557315,0.07685648313064963,0.5544600369031104,0.5544600369031104,1.0,1.5707963267948966,0.9327144581630629,0.3131628108262554,0.1944234475004715,0.21058206944259117,0.22214315464453072,0.9325014274071437,0.31325560161274607,0.6271486715875934,True,4.041410058884365e-14,0.023236228830222302,0.5584702541423818,0.012070280528746334,False
0.02,1,0.6444817423335154,0.08165407284903549,0.5715035357687142,0.5715035357687142,1.0,1.5707963267948966,0.9281517924571482,0.3231491696302069,0.20134187745194568,0.21762768514077635,0.22908272038075608,0.9279222907689985,0.32326744749467445,0.648052282973478,True,4.7078823761678983e-14,0.025818729265124254,0.5540173453222382,0.012069090527763955,False
0.02,1,0.6652978004112993,0.08658601753276252,0.5885100425065405,0.5885100425065405,1.0,1.5707963267948966,0.92344568010798,0.33307309476678637,0.20828065189117884,0.22467049859496105,0.23600283071260345,0.9231989973295714,0.3332177603923332,0.6689539811987433,True,5.433393370925348e-14,0.02859729644183516,0.5495555201270304,0.01206796333578873,False
0.02,1,0.6861138584890831,0.09165292468787488,0.6054846808561712,0.6054846808561712,1.0,1.5707963267948966,0.9185972438482872,0.34293178114751965,0.21523927166978307,0.231710100243389,0.24290438991859872,0.9183326566804654,0.3431037072835336,0.6898537618317708,True,6.229508779766128e-14,0.03155391665398782,0.5450849441991277,0.012066892726198814,False
0.02,1,0.706929916566867,0.09685557295785395,0.6224325600668845,0.6224325600668845,1.0,1.5707963267948966,0.9136076666036634,0.35272245809163033,0.22221725609088433,0.2387460745116312,0.24978829079339948,0.9133244376171816,0.3529224912347307,0.7107516213959151,True,7.103154506332891e-14,0.03467447434671784,0.5406058987583675,0.012065873020158173,False
